Year,SS_Max_Earnings,His_SS_Earnings,Her_SS_Earnings,Index_Factors
2002,84.900,0.000,1.007,1.6270
2003,87.000,0.000,1.192,1.5881
2004,87.900,0.000,0.000,1.5176
2005,90.000,0.000,0.000,1.4640
2006,94.200,0.000,0.000,1.3997
2007,97.500,0.000,0.000,1.3389
2008,102.000,0.000,0.000,1.3088
2009,106.800,0.000,9.387,1.3289
2010,106.800,0.000,19.489,1.2982
2011,106.800,0.000,35.725,1.2587
2012,110.100,12.872,40.728,1.2206
2013,113.700,23.868,38.485,1.2052
2014,117.000,26.460,31.144,1.1639
2015,118.500,136.307,51.986,1.1248
2016,118.500,115.050,36.440,1.1122
2017,127.200,124.934,0.000,1.0751
2018,128.400,154.264,0.635,1.0375
2019,132.900,144.675,0.000,1.0000